instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
AAA,AAA,,AAA,0,0,0,0,0,0,0,NONE
AAD,AAD,,AAD,0,0,0,0,0,0,0,NONE
AAD imm8,AAD imm8,,AAD,1,0,1,1,0,8,8,NONE
AAM,AAM,,AAM,0,0,0,0,0,0,0,NONE
AAM imm8,AAM imm8,,AAM,1,0,1,1,0,8,8,NONE
AAS,AAS,,AAS,0,0,0,0,0,0,0,NONE
ADC AL,ADC AL,,ADC,1,0,0,0,0,8,0,NONE
ADC AX,ADC AX,,ADC,1,0,0,0,0,16,0,NONE
ADC EAX,ADC EAX,,ADC,1,0,0,0,0,32,0,NONE
ADC RAX,ADC RAX,,ADC,1,0,0,0,0,64,0,NONE
ADC imm16,ADC imm16,,ADC,1,0,1,1,0,16,16,NONE
ADC imm32,ADC imm32,,ADC,1,0,1,1,0,32,32,NONE
ADC imm8,ADC imm8,,ADC,1,0,1,1,0,8,8,NONE
ADC r16,ADC r/m16,,ADC,1,0,0,0,0,64,0,NONE
ADC m16,ADC r/m16,,ADC,1,0,1,0,0,16,16,NONE
ADC r32,ADC r/m32,,ADC,1,0,0,0,0,64,0,NONE
ADC m32,ADC r/m32,,ADC,1,0,1,0,0,0,32,NONE
ADC r64,ADC r/m64,,ADC,1,0,0,0,0,64,0,NONE
ADC m64,ADC r/m64,,ADC,1,0,1,0,0,0,64,NONE
ADC r81,ADC r/m81,,ADC,1,0,0,0,0,64,0,NONE
ADC m81,ADC r/m81,,ADC,1,0,1,0,0,8,8,NONE
ADC r16,ADC r16,,ADC,1,0,0,0,0,64,0,NONE
ADC r32,ADC r32,,ADC,1,0,0,0,0,64,0,NONE
ADC r64,ADC r64,,ADC,1,0,0,0,0,64,0,NONE
ADC r81,ADC r81,,ADC,1,0,0,0,0,64,0,NONE
ADD AL,ADD AL,,ADD,1,0,0,0,0,8,0,NONE
ADD AX,ADD AX,,ADD,1,0,0,0,0,16,0,NONE
ADD EAX,ADD EAX,,ADD,1,0,0,0,0,32,0,NONE
ADD RAX,ADD RAX,,ADD,1,0,0,0,0,64,0,NONE
ADD imm16,ADD imm16,,ADD,1,0,1,1,0,16,16,NONE
ADD imm32,ADD imm32,,ADD,1,0,1,1,0,32,32,NONE
ADD imm8,ADD imm8,,ADD,1,0,1,1,0,8,8,NONE
ADD r16,ADD r/m16,,ADD,1,0,0,0,0,64,0,NONE
ADD m16,ADD r/m16,,ADD,1,0,1,0,0,16,16,NONE
ADD r32,ADD r/m32,,ADD,1,0,0,0,0,64,0,NONE
ADD m32,ADD r/m32,,ADD,1,0,1,0,0,0,32,NONE
ADD r64,ADD r/m64,,ADD,1,0,0,0,0,64,0,NONE
ADD m64,ADD r/m64,,ADD,1,0,1,0,0,0,64,NONE
ADD r81,ADD r/m81,,ADD,1,0,0,0,0,64,0,NONE
ADD m81,ADD r/m81,,ADD,1,0,1,0,0,8,8,NONE
ADD r16,ADD r16,,ADD,1,0,0,0,0,64,0,NONE
ADD r32,ADD r32,,ADD,1,0,0,0,0,64,0,NONE
ADD r64,ADD r64,,ADD,1,0,0,0,0,64,0,NONE
ADD r81,ADD r81,,ADD,1,0,0,0,0,64,0,NONE
AL,AL,,AL,0,0,0,0,0,8,0,NONE
AL AX,AL AX,,AL,1,0,0,0,0,16,0,NONE
AL or EAX by memory,AL or EAX by memory,,AL,4,0,0,0,0,32,0,NONE
AL or EAX by register,AL or EAX by register,,AL,4,0,0,0,0,32,0,NONE
AL or EAX to memory,AL or EAX to memory,,AL,4,0,0,0,0,32,0,NONE
AL or EAX with memory,AL or EAX with memory,,AL,4,0,0,0,0,32,0,NONE
AL or EAX with register,AL or EAX with register,,AL,4,0,0,0,0,32,0,NONE
AL to byte DS:[(E)BX + unsigned AL],AL to byte DS:[(E)BX + unsigned AL],,AL,6,0,1,0,0,16,8,NONE
AL to byte DS:[RBX + unsigned AL],AL to byte DS:[RBX + unsigned AL],,AL,6,0,1,0,0,64,8,NONE
AND AL,AND AL,,AND,1,0,0,0,0,8,0,NONE
AND AX,AND AX,,AND,1,0,0,0,0,16,0,NONE
AND EAX,AND EAX,,AND,1,0,0,0,0,32,0,NONE
AND RAX,AND RAX,,AND,1,0,0,0,0,64,0,NONE
AND imm16,AND imm16,,AND,1,0,1,1,0,16,16,NONE
AND imm32,AND imm32,,AND,1,0,1,1,0,32,32,NONE
AND imm8,AND imm8,,AND,1,0,1,1,0,8,8,NONE
AND imm81,AND imm81,,AND,1,0,1,1,0,8,8,NONE
AND r16,AND r/m16,,AND,1,0,0,0,0,64,0,NONE
AND m16,AND r/m16,,AND,1,0,1,0,0,16,16,NONE
AND r32,AND r/m32,,AND,1,0,0,0,0,64,0,NONE
AND m32,AND r/m32,,AND,1,0,1,0,0,0,32,NONE
AND r64,AND r/m64,,AND,1,0,0,0,0,64,0,NONE
AND m64,AND r/m64,,AND,1,0,1,0,0,0,64,NONE
AND r8 1,AND r/m8 1,,AND,2,0,0,0,0,8,0,NONE
AND m8 1,AND r/m8 1,,AND,2,0,1,0,0,8,8,NONE
AND r16,AND r16,,AND,1,0,0,0,0,64,0,NONE
AND r32,AND r32,,AND,1,0,0,0,0,64,0,NONE
AND r64,AND r64,,AND,1,0,0,0,0,64,0,NONE
ANDN,ANDN,,ANDN,0,0,0,0,0,0,0,NONE
ANDN BEXTR,ANDN BEXTR,,ANDN,1,0,0,0,0,0,0,NONE
