Instruction Syntax
AAA
AAD
AAD imm8
AAM
AAM imm8
AAS
ADC AL
ADC AX
ADC EAX
ADC RAX
ADC imm16
ADC imm32
ADC imm8
ADC r/m16
ADC r/m32
ADC r/m64
ADC r/m81
ADC r16
ADC r32
ADC r64
ADC r81
ADD AL
ADD AX
ADD EAX
ADD RAX
ADD imm16
ADD imm32
ADD imm8
ADD r/m16
ADD r/m32
ADD r/m64
ADD r/m81
ADD r16
ADD r32
ADD r64
ADD r81
AL
AL AX
AL or EAX by memory
AL or EAX by register
AL or EAX to memory
AL or EAX with memory
AL or EAX with register
AL to byte DS:[(E)BX + unsigned AL]
AL to byte DS:[RBX + unsigned AL]
AND AL
AND AX
AND EAX
AND RAX
AND imm16
AND imm32
AND imm8
AND imm81
AND r/m16
AND r/m32
AND r/m64
AND r/m8 1
AND r16
AND r32
AND r64
ANDN
ANDN BEXTR
ANDN BLSI
ANDN BLSMSK
ANDN BLSR
ANDN BZHI
ANDN MULX
ANDN PDEP
ANDN PEXT
ANDN RORX
ANDN SARX
ANDN SHLX
ANDN SHRX
ARPL r/m16
ARPL r16
AVX
AVX (no Legacy SSE)
AVX Legacy SSE
AVX2 Gathers
AX or EAX with reg
AX or EAX with register
BOUND m16&16
BOUND m32&32
BOUND r16
BOUND r32
BSF r/m16
BSF r/m32
BSF r/m64
BSF r16
BSF r32
BSF r64
BSR r/m16
BSR r/m32
BSR r/m64
BSR r16
BSR r32
BSR r64
BSWAP r32
BSWAP r64
BT imm8
BT r/m16
BT r/m32
BT r/m64
BT r16
BT r32
BT r64
BTC imm8
BTC r/m16
BTC r/m32
BTC r/m64
BTC r16
BTC r32
BTC r64
BTR imm8
BTR r/m16
BTR r/m32
BTR r/m64
BTR r16
BTR r32
BTR r64
BTS imm8
BTS r/m16
BTS r/m32
BTS r/m64
BTS r16
BTS r32
BTS r64
C6 F8 ibXABORT imm8
C7 F8XBEGIN rel16
C7 F8XBEGIN rel32
CALL m16:16
CALL m16:32
CALL m16:64
CALL ptr16:16
CALL ptr16:32
CALL r/m16
CALL r/m32
CALL r/m64
CALL rel16
CALL rel32
CBW
CDQ
CDQE
CLC
CLD
CLI
CLTS
CMC
CMOVA r/m16
CMOVA r/m32
CMOVA r/m64
CMOVA r16
CMOVA r32
CMOVA r64
CMOVAE r/m16
CMOVAE r/m32
CMOVAE r/m64
CMOVAE r16
CMOVAE r32
CMOVAE r64
CMOVB r/m16
CMOVB r/m32
CMOVB r/m64
CMOVB r16
CMOVB r32
CMOVB r64
CMOVBE r/m16
CMOVBE r/m32
CMOVBE r/m64
CMOVBE r16
CMOVBE r32
CMOVBE r64
CMOVC r/m16
CMOVC r/m32
CMOVC r/m64
CMOVC r16
CMOVC r32
CMOVC r64
CMOVE r/m16
CMOVE r/m32
CMOVE r/m64
CMOVE r16
CMOVE r32
CMOVE r64
CMOVG r/m16
CMOVG r/m32
CMOVG r/m64
CMOVG r16
CMOVG r32
CMOVG r64
CMOVGE r/m16
CMOVGE r/m32
CMOVGE r/m64
CMOVGE r16
CMOVGE r32
CMOVGE r64
CMOVL r/m16
CMOVL r/m32
CMOVL r/m64
CMOVL r16
CMOVL r32
CMOVL r64
CMOVLE r/m16
CMOVLE r/m32
CMOVLE r/m64
CMOVLE r16
CMOVLE r32
CMOVLE r64
CMOVNA r/m16
CMOVNA r/m32
CMOVNA r/m64
CMOVNA r16
CMOVNA r32
CMOVNA r64
CMOVNAE r/m16
CMOVNAE r/m32
CMOVNAE r/m64
CMOVNAE r16
CMOVNAE r32
CMOVNAE r64
CMOVNB r/m16
CMOVNB r/m32
CMOVNB r/m64
CMOVNB r16
CMOVNB r32
CMOVNB r64
CMOVNBE r/m16
CMOVNBE r/m32
CMOVNBE r/m64
CMOVNBE r16
CMOVNBE r32
CMOVNBE r64
CMOVNC r/m16
CMOVNC r/m32
CMOVNC r/m64
CMOVNC r16
CMOVNC r32
CMOVNC r64
CMOVNE r/m16
CMOVNE r/m32
CMOVNE r/m64
CMOVNE r16
CMOVNE r32
CMOVNE r64
CMOVNG r/m16
CMOVNG r/m32
CMOVNG r/m64
CMOVNG r16
CMOVNG r32
CMOVNG r64
CMOVNGE r/m16
CMOVNGE r/m32
CMOVNGE r/m64
CMOVNGE r16
CMOVNGE r32
