Original,Opcode,Instruction
AAA,,AAA
AAD,,AAD
AAD imm8,,AAD imm8
AAM,,AAM
AAM imm8,,AAM imm8
AAS,,AAS
ADC AL,,ADC AL
ADC AX,,ADC AX
ADC EAX,,ADC EAX
ADC RAX,,ADC RAX
ADC imm16,,ADC imm16
ADC imm32,,ADC imm32
ADC imm8,,ADC imm8
ADC r/m16,,ADC r16
ADC r/m16,,ADC m16
ADC r/m32,,ADC r32
ADC r/m32,,ADC m32
ADC r/m64,,ADC r64
ADC r/m64,,ADC m64
ADC r/m81,,ADC r81
ADC r/m81,,ADC m81
ADC r16,,ADC r16
ADC r32,,ADC r32
ADC r64,,ADC r64
ADC r81,,ADC r81
ADD AL,,ADD AL
ADD AX,,ADD AX
ADD EAX,,ADD EAX
ADD RAX,,ADD RAX
ADD imm16,,ADD imm16
ADD imm32,,ADD imm32
ADD imm8,,ADD imm8
ADD r/m16,,ADD r16
ADD r/m16,,ADD m16
ADD r/m32,,ADD r32
ADD r/m32,,ADD m32
ADD r/m64,,ADD r64
ADD r/m64,,ADD m64
ADD r/m81,,ADD r81
ADD r/m81,,ADD m81
ADD r16,,ADD r16
ADD r32,,ADD r32
ADD r64,,ADD r64
ADD r81,,ADD r81
AL,,AL
AL AX,,AL AX
AL or EAX by memory,,AL or EAX by memory
AL or EAX by register,,AL or EAX by register
AL or EAX to memory,,AL or EAX to memory
AL or EAX with memory,,AL or EAX with memory
AL or EAX with register,,AL or EAX with register
AL to byte DS:[(E)BX + unsigned AL],,AL to byte DS:[(E)BX + unsigned AL]
AL to byte DS:[RBX + unsigned AL],,AL to byte DS:[RBX + unsigned AL]
AND AL,,AND AL
AND AX,,AND AX
AND EAX,,AND EAX
AND RAX,,AND RAX
AND imm16,,AND imm16
AND imm32,,AND imm32
AND imm8,,AND imm8
AND imm81,,AND imm81
AND r/m16,,AND r16
AND r/m16,,AND m16
AND r/m32,,AND r32
AND r/m32,,AND m32
AND r/m64,,AND r64
AND r/m64,,AND m64
AND r/m8 1,,AND r8 1
AND r/m8 1,,AND m8 1
AND r16,,AND r16
AND r32,,AND r32
AND r64,,AND r64
ANDN,,ANDN
ANDN BEXTR,,ANDN BEXTR
ANDN BLSI,,ANDN BLSI
ANDN BLSMSK,,ANDN BLSMSK
ANDN BLSR,,ANDN BLSR
ANDN BZHI,,ANDN BZHI
ANDN MULX,,ANDN MULX
ANDN PDEP,,ANDN PDEP
ANDN PEXT,,ANDN PEXT
ANDN RORX,,ANDN RORX
ANDN SARX,,ANDN SARX
ANDN SHLX,,ANDN SHLX
ANDN SHRX,,ANDN SHRX
ARPL r/m16,,ARPL r16
ARPL r/m16,,ARPL m16
ARPL r16,,ARPL r16
AVX,,AVX
AVX (no Legacy SSE),,AVX (no Legacy SSE)
AVX Legacy SSE,,AVX Legacy SSE
AVX2 Gathers,,AVX2 Gathers
AX or EAX with reg,,AX or EAX with reg
AX or EAX with register,,AX or EAX with register
BOUND m16&16,,BOUND m16
BOUND m32&32,,BOUND m32
BOUND r16,,BOUND r16
BOUND r32,,BOUND r32
BSF r/m16,,BSF r16
BSF r/m16,,BSF m16
BSF r/m32,,BSF r32
BSF r/m32,,BSF m32
BSF r/m64,,BSF r64
BSF r/m64,,BSF m64
BSF r16,,BSF r16
BSF r32,,BSF r32
BSF r64,,BSF r64
BSR r/m16,,BSR r16
BSR r/m16,,BSR m16
BSR r/m32,,BSR r32
BSR r/m32,,BSR m32
BSR r/m64,,BSR r64
BSR r/m64,,BSR m64
BSR r16,,BSR r16
BSR r32,,BSR r32
BSR r64,,BSR r64
BSWAP r32,,BSWAP r32
BSWAP r64,,BSWAP r64
BT imm8,,BT imm8
BT r/m16,,BT r16
BT r/m16,,BT m16
BT r/m32,,BT r32
BT r/m32,,BT m32
BT r/m64,,BT r64
BT r/m64,,BT m64
BT r16,,BT r16
BT r32,,BT r32
BT r64,,BT r64
BTC imm8,,BTC imm8
BTC r/m16,,BTC r16
BTC r/m16,,BTC m16
BTC r/m32,,BTC r32
BTC r/m32,,BTC m32
BTC r/m64,,BTC r64
BTC r/m64,,BTC m64
BTC r16,,BTC r16
BTC r32,,BTC r32
BTC r64,,BTC r64
BTR imm8,,BTR imm8
BTR r/m16,,BTR r16
BTR r/m16,,BTR m16
BTR r/m32,,BTR r32
BTR r/m32,,BTR m32
BTR r/m64,,BTR r64
BTR r/m64,,BTR m64
BTR r16,,BTR r16
BTR r32,,BTR r32
BTR r64,,BTR r64
BTS imm8,,BTS imm8
BTS r/m16,,BTS r16
BTS r/m16,,BTS m16
BTS r/m32,,BTS r32
BTS r/m32,,BTS m32
BTS r/m64,,BTS r64
BTS r/m64,,BTS m64
BTS r16,,BTS r16
BTS r32,,BTS r32
BTS r64,,BTS r64
C6 F8 ibXABORT imm8,,C6 F8 ibXABORT imm8
C7 F8XBEGIN rel16,,C7 F8XBEGIN rel16
C7 F8XBEGIN rel32,,C7 F8XBEGIN rel32
CALL m16:16,,CALL m16:16
CALL m16:32,,CALL m16:32
CALL m16:64,,CALL m16:64
CALL ptr16:16,,CALL ptr16:16
CALL ptr16:32,,CALL ptr16:32
CALL r/m16,,CALL r16
CALL r/m16,,CALL m16
CALL r/m32,,CALL r32
CALL r/m32,,CALL m32
CALL r/m64,,CALL r64
CALL r/m64,,CALL m64
CALL rel16,,CALL rel16
CALL rel32,,CALL rel32
CBW,,CBW
CDQ,,CDQ
CDQE,,CDQE
CLC,,CLC
CLD,,CLD
CLI,,CLI
CLTS,,CLTS
CMC,,CMC
CMOVA r/m16,,CMOVA r16
CMOVA r/m16,,CMOVA m16
CMOVA r/m32,,CMOVA r32
CMOVA r/m32,,CMOVA m32
CMOVA r/m64,,CMOVA r64
CMOVA r/m64,,CMOVA m64
CMOVA r16,,CMOVA r16
CMOVA r32,,CMOVA r32
CMOVA r64,,CMOVA r64
CMOVAE r/m16,,CMOVAE r16
CMOVAE r/m16,,CMOVAE m16
CMOVAE r/m32,,CMOVAE r32
CMOVAE r/m32,,CMOVAE m32
CMOVAE r/m64,,CMOVAE r64
CMOVAE r/m64,,CMOVAE m64
CMOVAE r16,,CMOVAE r16
CMOVAE r32,,CMOVAE r32
CMOVAE r64,,CMOVAE r64
CMOVB r/m16,,CMOVB r16
CMOVB r/m16,,CMOVB m16
CMOVB r/m32,,CMOVB r32
CMOVB r/m32,,CMOVB m32
CMOVB r/m64,,CMOVB r64
CMOVB r/m64,,CMOVB m64
CMOVB r16,,CMOVB r16
CMOVB r32,,CMOVB r32
CMOVB r64,,CMOVB r64
CMOVBE r/m16,,CMOVBE r16
CMOVBE r/m16,,CMOVBE m16
CMOVBE r/m32,,CMOVBE r32
CMOVBE r/m32,,CMOVBE m32
CMOVBE r/m64,,CMOVBE r64
CMOVBE r/m64,,CMOVBE m64
CMOVBE r16,,CMOVBE r16
CMOVBE r32,,CMOVBE r32
CMOVBE r64,,CMOVBE r64
CMOVC r/m16,,CMOVC r16
CMOVC r/m16,,CMOVC m16
CMOVC r/m32,,CMOVC r32
CMOVC r/m32,,CMOVC m32
CMOVC r/m64,,CMOVC r64
CMOVC r/m64,,CMOVC m64
CMOVC r16,,CMOVC r16
CMOVC r32,,CMOVC r32
CMOVC r64,,CMOVC r64
CMOVE r/m16,,CMOVE r16
CMOVE r/m16,,CMOVE m16
CMOVE r/m32,,CMOVE r32
CMOVE r/m32,,CMOVE m32
CMOVE r/m64,,CMOVE r64
CMOVE r/m64,,CMOVE m64
CMOVE r16,,CMOVE r16
CMOVE r32,,CMOVE r32
CMOVE r64,,CMOVE r64
CMOVG r/m16,,CMOVG r16
CMOVG r/m16,,CMOVG m16
CMOVG r/m32,,CMOVG r32
CMOVG r/m32,,CMOVG m32
CMOVG r/m64,,CMOVG r64
CMOVG r/m64,,CMOVG m64
CMOVG r16,,CMOVG r16
CMOVG r32,,CMOVG r32
CMOVG r64,,CMOVG r64
CMOVGE r/m16,,CMOVGE r16
CMOVGE r/m16,,CMOVGE m16
CMOVGE r/m32,,CMOVGE r32
CMOVGE r/m32,,CMOVGE m32
