Category,Operand
AddressingMode,ptr16:16
AddressingMode,ptr16:32
AddressingMode,rel16
AddressingMode,rel32
AddressingMode,rel8
AddressingMode,vm32x
AddressingMode,vm32y
AddressingMode,vm32z
AddressingMode,vm64x
AddressingMode,vm64y
AddressingMode,vm64z
Immediate,imm16
Immediate,imm32
Immediate,imm64
Immediate,imm8
Immediate,imm81
MaskRegister,k1
MaskRegister,k2
MaskRegister,k3
Memory_128bit_plus,m128
Memory_128bit_plus,m256
Memory_128bit_plus,m512
Memory_16bit,m16
Memory_32bit,m32
Memory_32bit,m64
Memory_8bit,m8
Other,aaa
Other,aad
Other,aam
Other,aas
Other,adc
Other,add
Other,ae
Other,aes
Other,and
Other,avx
Other,bbb
Other,bc
Other,bd
Other,bit
Other,bnd
Other,bsf
Other,bsr
Other,bt
Other,btc
Other,btr
Other,bts
Other,by
Other,ca
Other,cb
Other,cbw
Other,cc
Other,cd
Other,cdq
Other,ce
Other,cf
Other,clc
Other,cld
Other,cli
Other,cmc
Other,cmp
Other,cqo
Other,crx
Other,cs
Other,cwd
Other,da
Other,daa
Other,das
Other,db
Other,dc
Other,dd
Other,de
Other,dec
Other,df
Other,div
Other,ds
Other,ea
Other,eb
Other,ec
Other,ed
Other,ee
Other,ef
Other,er
Other,es
Other,fa
Other,far
Other,fb
Other,fc
Other,fd
Other,fe
Other,fld
Other,fp
Other,fs
Other,fst
Other,fxch
Other,gs
Other,hlt
Other,in
Other,inc
Other,ins
Other,int
Other,ja
Other,jae
Other,jb
Other,jbe
Other,jc
Other,je
Other,jg
Other,jge
Other,jl
Other,jle
Other,jmp
Other,jna
Other,jnb
Other,jnc
Other,jne
Other,jng
Other,jnl
Other,jno
Other,jnp
Other,jns
Other,jnz
Other,jo
Other,jp
Other,jpe
Other,jpo
Other,js
Other,jz
Other,lar
Other,lds
Other,lea
Other,les
Other,lfs
Other,lgs
Other,lig
Other,lsl
Other,lss
Other,ltr
Other,lz
Other,m14
Other,m161
Other,m162
Other,m384
Other,m642
Other,m81
Other,m82
Other,m94
Other,mem
Other,mib
Other,mm
Other,mod
Other,mov
Other,mul
Other,nds
Other,neg
Other,nfx
Other,no
Other,nop
Other,not
Other,np
Other,on
Other,op
Other,or
Other,out
Other,pop
Other,push
Other,rcl
Other,rcr
Other,reg
Other,rep
Other,ret
Other,rex
Other,rol
Other,ror
Other,rrr
Other,rsm
Other,sae
Other,sal
Other,sar
Other,sbb
Other,shl
Other,shr
Other,ss
Other,sse
Other,st
Other,stc
Other,std
Other,sti
Other,str
Other,sub
Other,to
Other,udb
Other,vex
Other,wig
Other,with
Other,xor
Register_16bit,ax
Register_16bit,bx
Register_16bit,dx
Register_32bit,eax
Register_32bit,edx
Register_64bit,rax
Register_64bit,rbx
Register_64bit,rdx
Register_8bit,al
Register_8bit,cl
Register_8bit,r8
VectorRegister_XMM,xmm
VectorRegister_XMM,xmm0
VectorRegister_XMM,xmm1
VectorRegister_XMM,xmm2
VectorRegister_XMM,xmm3
VectorRegister_XMM,xmm4
VectorRegister_YMM,ymm
VectorRegister_YMM,ymm1
VectorRegister_YMM,ymm2
VectorRegister_YMM,ymm3
VectorRegister_YMM,ymm4
VectorRegister_ZMM,zmm1
VectorRegister_ZMM,zmm2
VectorRegister_ZMM,zmm3
